CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,target_class
465,France,Female,51,8,122522.32,99,0,0,181297.65,1,1
556,France,Female,61,2,117419.35,99,1,1,94153.83,0,1
834,France,Female,49,2,131394.56,99,0,0,194365.76,1,1
660,Spain,Female,61,5,155931.11,99,1,1,158338.39,0,1
776,Germany,Female,32,4,109421.13,99,1,1,126517.46,0,1
829,Germany,Female,27,9,112045.67,99,1,1,119708.21,1,1
637,Germany,Female,39,9,137843.8,99,1,1,117622.8,1,1
550,Germany,Male,38,2,103391.38,99,0,1,90878.13,0,1
776,Germany,Female,1,2,103769.22,99,1,0,194099.12,0,1
698,Germany,c,44,10,116363.37,2,1,0,198059.16,0,1
585,Germany,c,36,5,146050.97,2,0,0,86424.57,0,1
788,France,c,33,5,0,2,0,0,116978.19,0,1
655,Germany,c,41,8,125561.97,1,0,0,164040.94,1,1
601,Germany,c,42,1,98495.72,1,1,0,40014.76,1,1
619,France,c,43,1,125211.92,1,1,1,113410.49,0,1
656,France,c,45,5,127864.4,1,1,0,87107.57,0,1
725,Germany,c,19,0,75888.2,1,0,0,45613.75,0,1
511,Spain,c,66,4,0,1,1,0,1643.11,1,1
614,France,c,51,4,40685.92,1,1,1,46775.28,0,1
742,Germany,c,35,5,136857,1,0,0,84509.57,0,1
687,Germany,c,27,9,152328.88,2,0,0,126494.82,0,1
555,Spain,c,33,1,56084.69,2,0,0,178798.13,0,1
684,Spain,c,56,8,78707.16,1,1,1,99398.36,0,1
603,Germany,c,26,4,109166.37,1,1,1,92840.67,0,1
751,Germany,Germany,36,6,169831.46,2,1,1,27758.36,0,1
581,Germany,Germany,34,1,101633.04,1,1,0,110431.51,0,1
735,Germany,Germany,43,10,123180.01,2,1,1,196673.28,0,1
661,Germany,Germany,35,5,150725.53,2,0,1,113656.85,0,1
675,France,Germany,21,8,98373.26,1,1,0,18203,0,1
738,Germany,France,58,2,133745.44,4,1,0,28373.86,1,1
813,France,Germany,29,6,0,1,1,0,33953.87,0,1
657,Spain,France,37,0,163607.18,1,0,1,44203.55,0,1
604,Germany,Spain,25,5,157780.84,2,1,1,58426.81,0,1
519,France,Germany,36,9,0,2,0,1,145562.4,0,1
735,France,Female,6,1,178718.19,2,1,0,22388,0,1
664,France,Male,6,8,0,2,1,1,139161.64,0,1
678,France,Female,6,9,0,1,1,1,148210.64,0,1
757,Spain,Male,6,5,77253.22,1,0,1,194239.63,0,1
416,Germany,Female,6,10,122189.66,2,1,0,98301.61,0,1
665,France,Female,6,1,96645.54,2,0,0,171413.66,0,1
777,France,Female,6,2,0,1,1,0,136458.19,1,1
543,France,Female,6,3,0,2,0,0,26019.59,0,1
506,France,Female,6,4,90307.62,1,1,1,159235.29,0,1
493,France,Female,6,4,0,2,1,0,1907.66,0,1
652,Spain,Female,6,10,0,2,1,1,114675.75,0,1
750,Spain,Male,6,3,121681.82,1,1,0,128643.35,1,1
729,France,Male,6,9,0,2,1,0,151869.35,0,1
646,France,Female,6,4,0,3,1,0,93251.42,1,1
635,Germany,Female,6,3,81623.67,2,1,1,156791.36,0,1
647,Spain,Female,6,5,0,3,1,1,174205.22,1,1
808,France,M,6,7,118626.55,2,1,0,147132.46,0,1
524,France,M,36,10,0,2,1,0,109614.57,0,1
769,France,M,29,8,0,2,1,1,172290.61,0,1
730,Spain,M,42,4,0,2,0,1,85982.47,0,1
515,Spain,M,35,10,176273.95,1,0,1,121277.78,0,1
773,Spain,M,41,9,102827.44,1,0,1,64595.25,0,1
814,Germany,M,29,8,97086.4,2,1,1,197276.13,0,1
710,Spain,M,22,8,0,2,0,0,99645.04,0,1
413,France,M,34,9,0,2,0,0,6534.18,0,1
665,France,M,40,6,0,1,1,1,161848.03,0,1
623,France,M,44,6,0,2,0,0,167162.43,0,1
738,France,M,31,9,82674.15,1,1,0,41970.72,0,1
528,Spain,M,36,7,0,2,1,0,60536.56,0,1
670,Spain,M,65,1,0,1,1,1,177655.68,1,1
622,Spain,M,46,4,107073.27,2,1,1,30984.59,1,1
582,Germany,M,32,1,88938.62,1,1,1,10054.53,0,1
785,Germany,M,36,2,99806.85,1,0,1,36976.52,0,1
605,Spain,M,33,5,150092.8,1,0,0,71862.79,0,1
479,Germany,M,35,9,92833.89,1,1,0,99449.86,1,1
685,Germany,M,30,3,90536.81,1,0,1,63082.88,0,1
538,Germany,M,39,7,108055.1,2,1,0,27231.26,0,1
562,France,M,42,2,100238.35,1,0,0,86797.41,0,1
675,Spain,M,36,9,106190.55,1,0,1,22994.32,0,1
721,Germany,M,28,9,154475.54,2,0,1,101300.94,1,1
628,Germany,Female,16,9,132351.29,2,1,1,74169.13,0,1
668,Germany,Female,16,6,167864.4,1,1,0,115638.29,0,1
506,France,Female,16,1,0,2,1,0,31766.3,0,1
524,Germany,Female,16,8,107818.63,1,1,0,199725.39,1,1
699,Germany,Male,16,4,185173.81,2,1,0,120834.48,0,1
828,France,Male,16,8,129433.34,2,0,0,38131.77,0,1
674,Spain,Male,16,6,120193.42,1,0,0,100130.95,0,1
656,France,Female,16,6,0,2,1,0,141069.88,0,1
684,Germany,Female,16,10,126384.42,1,1,1,198129.36,0,1
625,France,Female,16,3,0,1,0,0,183646.41,0,1
432,France,Male,16,9,152603.45,1,1,0,110265.24,1,1
549,France,Female,16,1,0,1,0,1,8636.05,1,1
625,Germany,Male,16,0,148507.24,1,1,0,46824.08,1,1
828,France,Female,16,7,0,2,1,0,171378.77,0,1
770,France,Male,16,9,101827.07,1,1,0,167256.35,0,1
758,France,Female,16,3,0,2,1,1,124226.16,0,1
795,Germany,Female,16,9,130862.43,1,1,1,114935.21,0,1
687,France,Male,16,9,122570.87,1,1,1,35608.88,0,1
686,France,Male,16,1,0,2,0,1,16459.37,0,1
789,Germany,Male,16,7,124828.46,33,1,1,124411.08,0,1
589,Germany,Female,50,5,144895.05,33,1,1,34941.23,0,1
461,Germany,Female,34,5,63663.93,33,0,1,167784.28,0,1
637,France,Male,40,2,133463.1,33,0,1,93165.34,0,1
584,Spain,Female,48,2,213146.2,33,1,0,75161.25,1,1
579,Spain,Female,35,1,129490.36,33,0,1,8590.83,1,1
756,Germany,Male,44,10,137452.09,33,1,0,189543.9,0,1
663,France,Male,34,7,0,33,1,1,180427.24,0,1
682,France,Female,43,5,125851.93,33,1,1,193318.33,0,1
793,Spain,Male,52,2,0,33,1,0,159123.82,1,1
691,France,F,31,5,40915.55,33,1,0,126213.84,1,1
485,Spain,F,21,5,113157.22,1,1,1,54141.5,0,1
635,Spain,F,29,8,138296.94,2,1,0,141075.51,0,1
650,France,F,37,5,106967.18,1,0,0,24495.03,0,1
735,France,F,44,9,120681.63,1,1,0,74836.34,0,1
416,France,F,32,0,0,2,0,1,878.87,0,1
754,Spain,F,32,7,0,2,1,0,89520.75,0,1
535,France,F,48,9,0,1,1,0,149892.79,1,1
716,Spain,F,42,8,0,2,1,0,180800.42,0,1
539,France,F,37,2,127609.59,1,1,0,98646.22,0,1
614,France,F,43,6,0,2,1,1,109041.53,0,1
706,Spain,F,57,7,0,1,1,0,17941.16,1,1
758,France,F,33,7,0,2,0,0,82996.47,0,1
586,Spain,F,28,2,0,2,1,1,92067.35,0,1
646,France,F,73,6,97259.25,1,0,1,104719.66,0,1
631,Germany,F,33,4,123246.7,1,0,0,112687.57,0,1
717,Spain,F,22,6,101060.25,1,0,1,84699.56,0,1
684,France,F,30,2,0,2,1,0,83473.82,0,1
800,France,F,49,7,108007.36,1,0,0,47125.11,0,1
721,Spain,M,36,2,0,2,1,1,106977.8,0,1
683,Spain,M,29,0,133702.89,1,1,0,55582.54,1,1
660,Germany,M,31,9,125189.75,2,1,1,139874.43,0,1
704,Germany,M,24,7,113034.22,1,1,0,162503.48,1,1
615,Spain,M,41,9,109013.23,1,1,0,196499.96,0,1
667,Spain,M,39,2,0,2,1,0,40721.24,1,1
682,Germany,M,24,9,57929.81,2,0,0,53134.3,0,1
484,France,M,29,4,130114.39,1,1,0,164017.89,0,1
628,Germany,M,27,5,95826.49,2,1,0,155996.96,0,1
480,Germany,M,44,10,129608.57,1,1,0,5472.7,1,1
578,France,M,30,4,169462.09,1,1,0,112187.11,0,1
512,France,M,40,5,0,2,1,1,146457.83,0,1
484,Spain,M,35,7,133868.21,1,1,1,27286.1,0,1
510,France,M,30,0,0,2,1,1,130553.47,0,1
606,Germany,M,36,5,190479.48,2,0,0,179351.89,0,1
597,Spain,M,40,8,101993.12,1,0,1,94774.12,0,1
754,Germany,M,55,3,161608.81,1,1,0,8080.85,1,1
850,Spain,M,45,2,122311.21,1,1,1,19482.5,0,1
510,France,M,65,2,0,2,1,1,48071.61,0,1
778,Germany,M,45,1,162150.42,2,1,0,174531.27,0,1
636,France,M,42,2,0,2,1,1,55470.78,0,1
804,France,M,50,4,0,1,1,1,8546.87,1,1
514,France,M,32,8,0,2,1,0,95857.18,0,1
730,France,M,39,1,99010.67,1,1,0,194945.8,0,1
525,Spain,M,37,0,0,1,0,1,131521.72,0,1
616,Spain,M,30,5,0,2,0,1,196108.51,0,1
687,Germany,M,34,7,111388.18,2,1,0,148564.76,0,1
715,France,Female,15,8,56214.85,2,0,0,92982.61,1,1
512,France,Female,15,3,84327.77,2,1,0,17675.36,0,1
479,France,Male,15,1,0,2,0,0,114996.43,0,1
601,France,Male,15,8,93012.89,1,1,0,86957.42,0,1
580,Spain,Male,15,9,61710.44,2,1,0,128077.8,0,1
807,France,Male,15,3,174790.15,1,1,1,600.36,0,1
616,Spain,Female,15,6,0,2,1,1,43001.46,0,1
721,Germany,Male,15,3,107720.64,1,1,1,158591.12,0,1
501,France,Male,15,10,0,2,1,1,47847.19,0,1
521,France,Male,15,6,96423.84,1,1,0,10488.44,0,1
850,Spain,Male,15,2,141040.01,1,1,1,5978.2,0,1
759,France,Male,15,4,105420.18,1,0,1,121409.06,0,1
516,Spain,Male,15,5,0,1,0,1,146145.93,1,1
711,France,Female,15,2,129022.06,2,1,1,14374.86,1,1
512,Spain,Male,15,3,176666.62,1,1,0,94670.77,0,1
550,France,Male,15,3,0,1,1,1,179670.31,0,1
608,Spain,Female,15,3,89763.84,1,0,0,199304.74,1,1
618,France,Male,14,5,134954.53,1,1,1,151954.39,0,1
643,France,Male,15,5,0,1,1,0,142513.5,1,1
671,France,Male,15,2,106376.85,1,0,1,158264.62,0,1
689,Germany,Male,15,2,161814.64,2,1,0,169381.9,0,1
603,France,Male,15,8,0,2,1,1,169915.02,0,1
620,France,Female,15,9,0,2,0,0,88852.47,0,1
676,France,Female,15,1,63095.01,1,1,1,40645.81,0,1
572,Germany,M,26,4,118287.01,2,0,0,60427.3,0,1
668,Germany,M,47,7,106854.21,1,0,1,157959.02,1,1
695,France,M,46,7,49512.55,1,1,0,133007.34,0,1
730,Spain,M,33,9,0,2,0,0,176576.62,0,1
807,France,M,43,1,105799.32,2,1,0,34888.04,1,1
592,France,M,54,8,0,1,1,1,28737.71,1,1
726,France,M,31,9,114722.05,2,1,1,98178.57,0,1
514,Spain,M,30,7,0,1,0,1,125010.24,0,1
567,France,M,5,2,0,2,1,1,167984.61,0,1
850,France,M,5,10,0,1,1,0,4861.72,1,1
671,Germany,M,5,6,99564.22,1,1,1,108872.45,1,1
670,France,M,5,4,170557.91,999,1,0,198252.88,0,1
694,France,F,5,9,0,2,1,1,26960.31,0,1
547,Germany,F,5,6,74596.15,99999,1,1,85746.52,1,1
751,Germany,F,5,2,96888.39,1,1,0,77206.25,1,1
594,Germany,F,29,3,130830.22,1,1,0,61048.53,0,1
673,France,F,72,1,0,2,0,1,111981.19,0,1
610,France,F,40,0,0,2,1,0,62232.6,0,1
512,France,F,37,1,0,2,0,1,156105.03,0,1
767,Germany,F,20,3,119714.25,99,0,1,150135.38,0,1
585,France,F,67,5,113978.97,99,0,1,93146.11,0,1
763,Germany,F,42,6,100160.75,99,1,0,33462.94,1,1
712,France,F,29,2,0,1,1,1,144375,0,1
539,Germany,F,43,3,116220.5,3,1,0,55803.96,1,1
668,France,F,46,2,0,333,1,0,89048.46,1,1
703,France,F,28,2,81173.83,2,0,1,162812.16,0,1
662,Spain,F,38,4,0,22222,1,0,136259.65,0,1
725,Germany,F,39,5,116803.8,1,1,0,124052.97,0,1
703,France,F,37,8,105961.68,2,0,1,74158.8,0,1
659,Germany,F,67,6,117411.6,1,1,1,45071.09,1,1
523,Spain,F,34,7,0,2,1,0,62030.06,0,1
635,France,F,40,10,123497.58,1,1,0,131953.23,1,1
772,Germany,Male,14,7,152400.51,2,1,0,79414,0,1
545,France,Female,14,1,0,2,1,1,199638.56,0,1
634,Germany,Male,14,8,103097.85,1,1,1,157577.29,0,1
739,Germany,Male,14,8,126418.14,1,1,0,134420.75,1,1
771,Germany,Female,14,5,77846.9,1,0,0,99805.99,0,1
587,Spain,Female,14,1,0,2,1,1,97932.68,0,1
681,France,Female,14,0,0,2,0,1,170968.99,0,1
544,Germany,Male,14,2,79731.91,1,1,1,57558.95,0,1
696,Spain,Male,14,8,0,1,0,0,176713.47,0,1
766,Spain,Male,14,0,0,2,0,1,34283.23,0,1
727,France,Male,14,10,0,2,1,1,198637.34,0,1
671,Germany,Female,14,6,37266.67,2,0,0,156917.12,0,1
693,France,Female,14,6,127992.25,1,1,1,50457.2,0,1
850,Germany,Male,14,3,54901.01,33,1,1,140075.55,0,1
732,Germany,Male,42,9,108748.08,33,1,1,65323.11,0,1
726,Spain,Female,48,6,99906.19,33,1,0,64323.24,0,1
557,France,Female,32,6,184686.41,33,1,0,14956.44,0,1
682,France,Female,26,0,110654.02,33,0,1,111879.21,0,1
738,Spain,Male,31,9,79019.8,33,1,1,18606.23,0,1
531,Spain,Female,36,9,99240.51,33,1,0,123137.01,0,1
498,France,Male,34,2,0,33,1,1,148528.24,0,1
651,France,Male,36,7,0,33,1,0,13898.31,0,1
549,Spain,Female,39,7,0,33,0,0,81259.25,1,1
791,Germany,Female,35,7,52436.2,33,1,0,161051.75,0,1
650,Spain,Male,41,9,0,33,0,1,191599.67,0,1
733,Germany,Male,34,3,100337.96,33,1,0,48559.19,1,1
811,Germany,Female,34,1,149297.19,33,1,1,186339.74,0,1
707,France,Male,30,8,0,33,1,0,33159.37,0,1
712,Germany,Male,28,4,145605.44,33,0,1,93883.53,0,1
706,Spain,Female,37,7,0,33,1,1,110899.3,0,1
756,France,Male,62,3,0,33,1,1,11199.04,1,1
777,France,Female,53,10,0,33,1,0,189992.97,0,1
646,France,Male,35,6,84026.86,33,0,1,164255.69,0,1
714,France,Male,46,1,0,33,1,0,152167.79,1,1
782,France,Male,39,8,0,33,1,1,33949.67,0,1
775,Spain,Male,29,10,0,33,1,1,68143.93,0,1
479,Germany,Male,35,4,138718.92,33,1,1,47251.79,1,1
807,France,Male,42,7,118274.71,33,1,1,25885.72,0,1
799,France,Female,22,8,174185.98,33,0,1,192633.85,0,1
675,France,Male,13,7,113208.86,33,1,0,34577.36,0,1
602,Spain,Male,13,5,103907.28,33,1,0,161229.84,0,1
475,France,Female,13,8,119023.28,33,1,0,100816.29,0,1
744,Spain,Female,13,5,166297.89,1,1,1,181694.44,0,1
588,Spain,Male,13,10,0,2,1,0,79078.91,0,1
703,Germany,Male,13,9,63227,1,0,1,137316.32,0,1
747,Spain,Female,13,5,94521.17,2,1,0,194926.86,0,1
583,France,Male,13,7,0,2,1,0,51285.49,0,1
750,Spain,Female,13,9,112822.26,1,0,0,150401.53,1,1
681,France,Male,13,3,0,2,1,1,112491.96,0,1
773,France,Male,13,2,135903.33,1,1,0,73656.38,0,1
714,France,m,31,4,125169.26,1,1,1,106636.89,0,1
687,Spain,m,44,7,0,3,1,0,155853.52,1,1
511,France,m,58,0,149117.31,99,1,1,162599.51,0,1
627,France,m,33,5,0,99,1,1,103737.82,0,1
694,France,m,31,10,0,99,1,0,160990.27,0,1
616,Spain,m,36,6,132311.71,99,0,0,15462.84,0,1
687,France,m,35,8,0,99,1,0,10334.05,0,1
712,France,Female,33,6,0,99,1,1,190686.16,0,1
553,France,Male,33,4,118082.89,99,0,0,94440.45,0,1
667,France,Male,31,1,119266.69,99,1,1,28257.63,0,1
731,France,Male,1,2,0,5,1,1,170034.95,1,1
629,Germany,Male,1,7,156847.29,5,1,0,31824.29,0,1
614,France,Male,1,4,137104.47,5,1,0,127166.49,1,1
438,Germany,Male,1,8,78398.69,5,1,0,44937.01,0,1
652,France,Female,1,4,0,5,1,1,188603.07,0,1
729,Germany,m,1,6,63669.42,5,1,0,145111.37,0,1
642,France,m,38,3,0,2,0,0,171463.83,0,1
806,Germany,f,59,0,135296.33,1,1,0,182822.5,0,1
744,Spain,m,36,2,153804.44,1,1,1,87213.33,0,1
474,Spain,f,37,3,0,2,0,0,57175.32,0,1
559,France,m,49,2,147069.78,1,1,0,120540.83,1,1
706,Spain,m,42,9,0,2,1,1,28714.34,0,1
628,Spain,m,22,3,0,1,1,0,85426.28,0,1
429,France,m,24,4,95741.75,1,1,0,46170.75,0,1
525,Spain,m,57,2,145965.33,1,1,1,64448.36,0,1
680,France,m,30,8,141441.75,1,1,1,16278.97,0,1
749,France,m,40,1,139290.41,1,1,0,182855.42,1,1
763,France,m,31,4,0,2,0,0,50404.72,0,1
734,France,m,30,3,0,2,1,0,107640.25,0,1
716,France,m,35,4,144428.87,1,1,0,134132.65,0,1
594,France,m,17,2,0,2,1,0,103480.69,0,1
644,France,Female,17,9,95441.27,1,1,0,108761.05,1,1
671,Germany,Male,17,1,144848.74,1,1,1,179012.3,0,1
664,Germany,Male,17,7,116244.14,2,1,1,95145.14,0,1
656,France,Male,17,7,0,2,0,1,72143.44,0,1
667,Spain,Female,17,1,146502.07,1,1,0,19162.89,0,1
663,Germany,Male,17,2,117028.6,2,0,1,144680.18,0,1
584,Germany,F,17,8,112013.81,1,1,0,177772.03,1,1
626,Spain,F,37,6,108269.37,1,1,0,5597.94,0,1
485,France,F,29,7,182123.79,1,1,0,116828.51,1,1
659,Germany,F,32,3,150923.74,2,0,1,174652.51,0,1
649,France,F,33,2,0,2,1,0,2010.98,0,1
805,Spain,F,39,5,165272.13,1,1,0,14109.85,1,1
716,Germany,F,39,10,115301.31,1,1,0,43527.4,1,1
642,Germany,F,40,6,129502.49,2,0,1,86099.23,1,1
659,France,F,13,4,118342.26,1,0,0,161574.19,0,1
545,Spain,Female,13,5,0,2,1,1,38970.14,0,1
543,France,Male,13,8,0,2,0,0,127587.22,0,1
718,France,Female,13,7,0,2,1,0,30380.12,0,1
840,France,Female,13,7,0,2,1,0,90908.95,0,1
630,Germany,Female,13,9,106937.05,150,1,0,138275.01,0,1
643,Germany,Male,13,3,170331.37,150,1,1,32171.79,0,1
654,Germany,Female,13,1,114510.85,150,1,1,126143.23,0,1
582,France,Male,13,5,0,150,1,1,129892.93,0,1
659,Spain,Male,13,3,107594.11,150,1,1,102416.84,0,1
762,Spain,Male,13,2,81273.13,150,1,1,18719.67,0,1
568,Spain,Female,32,7,169399.6,150,1,0,61936.22,0,1
670,Spain,Male,25,6,0,150,1,1,78358.94,0,1
613,France,Female,45,1,187841.99,150,1,1,147224.27,0,1
539,France,Male,30,0,0,150,1,0,160979.66,0,1
850,Spain,Female,57,8,126776.3,150,1,1,132298.49,0,1
522,Spain,Male,34,9,126436.29,150,1,0,174248.52,1,1
737,France,Male,41,1,101960.74,150,1,1,123547.28,0,1
520,France,Male,58,3,0,150,0,1,32790.02,0,1
706,Spain,Male,12,3,0,150,0,1,181543.67,0,1
643,Germany,Female,12,2,150842.93,150,0,1,2319.96,1,1
648,France,Female,12,9,102535.57,150,1,1,189543.19,0,1
443,Germany,Female,12,9,99027.61,150,1,0,10940.4,0,1
640,France,Male,12,9,0,2,1,1,199493.38,0,1
628,Spain,Female,12,3,0,1,1,1,188193.25,0,1
540,Germany,Female,12,9,87271.41,2,1,0,172572.64,0,1
460,Germany,Female,12,8,102742.91,2,1,1,189339.6,0,1
636,Germany,Male,12,2,40105.51,2,0,1,53512.16,0,1
593,France,Female,12,2,152265.43,1,1,0,34004.44,0,1
801,Spain,Male,12,4,141947.67,1,1,1,10598.29,0,1
640,Germany,f,12,1,106307.91,150,0,1,113428.77,0,1
611,Germany,Male,11,0,107884.81,2,1,1,183487.98,0,1
802,Germany,Male,11,1,125013.72,1,1,1,187658.09,0,1
717,Germany,Male,11,7,58469.37,2,1,1,172459.39,0,1
769,France,Female,11,8,0,1,0,1,21016,0,1
745,Germany,M,11,10,117231.63,3,1,1,122381.02,1,1
572,Spain,M,35,4,152390.26,1,1,0,128123.66,0,1
629,Spain,M,30,2,34013.63,1,1,0,19570.63,0,1
687,Spain,M,39,2,0,3,0,0,188150.6,1,1
483,France,M,50,9,0,2,1,1,111020.24,0,1
690,France,M,36,7,101583.11,2,1,0,123775.15,0,1
492,Germany,M,30,10,77168.87,2,0,1,146700.22,0,1
709,Germany,M,28,8,124695.72,2,1,0,145251.35,0,1
705,Germany,M,44,3,105934.96,1,1,0,82463.69,0,1
560,France,M,66,9,0,1,1,1,15928.49,0,1
611,Spain,M,46,6,0,2,1,0,45886.33,0,1
730,Spain,M,62,2,0,2,1,1,186489.95,0,1
709,Spain,M,45,2,0,2,0,1,162922.65,0,1
544,France,M,21,10,161525.96,2,1,0,9262.77,0,1
712,Germany,M,29,7,147199.07,1,1,1,84932.4,0,1
752,Germany,M,10,3,183102.29,1,1,1,71557.12,0,1
648,Spain,Male,10,9,127209,2,1,0,77405.95,1,1
556,Spain,Male,10,8,0,2,0,0,417.41,1,1
594,Spain,Female,10,0,97378.54,1,1,1,71405.17,0,1
645,Germany,Female,10,2,136925.09,2,0,1,153400.24,0,1
557,France,Male,10,3,54503.55,1,1,1,371.05,0,1
547,Germany,Male,10,8,155726.85,1,1,0,67789.99,0,1
701,France,Female,10,9,0,2,0,1,145894.9,0,1
616,France,Female,10,1,135842.41,1,1,0,183840.51,1,1
605,France,Male,10,1,63349.75,1,1,0,108887.44,0,1
593,Germany,Female,10,4,129499.42,1,1,1,154071.27,0,1
751,Spain,Male,10,8,0,2,0,1,179291.85,0,1
443,Spain,Male,10,6,70438.01,6,0,1,56937.43,0,1
685,France,Male,23,8,0,6,1,1,112239.03,0,1
718,France,Male,36,9,0,6,1,0,45909.87,0,1
538,Spain,Female,49,9,141434.04,6,0,0,173779.25,1,1
611,Spain,Female,37,4,0,6,1,0,125696.26,0,1
668,Germany,Male,37,10,152958.29,7,1,1,159585.61,0,1
537,Germany,Female,41,3,138306.34,7,1,0,106761.47,0,1
709,Spain,Male,23,10,0,7,0,0,129590.18,0,1
850,France,Male,38,1,0,7,1,1,80006.65,0,1
745,Spain,Female,31,3,124328.84,7,1,1,140451.52,0,1
693,Germany,Female,41,9,181461.48,7,1,1,187929.43,1,1
795,Spain,Male,35,8,0,8,1,0,167155.36,0,1
626,Spain,Male,26,8,0,8,0,0,191420.71,0,1
487,Germany,Female,61,5,110368.03,8,0,0,11384.45,1,1
556,France,Female,39,9,89588.35,8,1,1,94898.1,0,1
643,France,Female,46,6,0,8,0,0,106781.59,0,1
605,France,Female,28,6,0,8,0,0,159508.52,0,1
756,Germany,Female,60,3,115924.89,8,1,0,93524.19,1,1
586,France,Female,38,2,0,8,1,0,87168.46,0,1
535,Germany,Male,40,7,111756.5,8,1,0,8128.32,1,1
678,France,Female,35,4,0,9,1,0,125518.32,0,1
596,France,Male,39,9,0,9,1,0,48963.59,0,1
648,France,Male,26,9,162923.85,9,1,0,98368.24,0,1
492,Germany,Male,39,10,124576.65,9,1,0,148584.61,0,1
702,France,Male,45,0,80793.58,9,1,1,27474.81,0,1
486,Germany,Female,40,9,71340.09,9,1,0,76192.21,0,1
568,Germany,Male,40,1,99282.63,9,0,0,134600.94,1,1
619,Germany,Male,57,3,137946.39,9,1,1,72467.99,1,1
724,Germany,Male,41,2,127892.57,10,0,1,199645.45,0,1
548,Germany,Female,33,0,101084.36,10,1,0,42749.85,0,1
545,Germany,Female,11,8,114754.08,10,1,0,136050.44,1,1
683,France,Male,12,8,0,10,0,0,73564.44,0,1
762,France,Female,13,3,99286.98,10,0,1,85578.63,0,1
627,Germany,Female,14,4,79871.02,10,1,0,129826.89,0,1
516,France,Male,15,10,104088.59,10,0,0,119666,0,1
800,France,Female,16,2,168190.33,11,1,0,68052.08,0,1
464,Germany,Female,17,3,85679.25,11,1,1,164104.74,0,1
626,France,Female,1,3,0,11,0,0,80190.36,0,1
790,France,Female,1,9,0,11,1,0,84126.75,0,1
534,France,Female,1,7,121551.58,11,1,1,70179,0,1
745,France,Male,1,2,122220.19,1,1,1,118024.1,0,1
553,Spain,Male,1,3,116528.15,1,0,0,145704.19,1,1
748,France,M,1,1,77780.29,1,0,1,183049.41,0,1
722,France,M,1,2,0,1,0,0,120906.83,0,1
501,France,M,1,4,125832.2,1,1,1,100433.83,0,1
675,France,M,1,6,68065.8,1,0,0,138777,1,1
778,Spain,M,47,6,127299.34,2,1,0,124694.99,0,1
494,Germany,M,38,7,174937.64,1,1,0,40084.32,0,1
850,France,M,40,9,0,2,0,1,119232.33,0,1
592,Spain,M,31,7,110071.1,1,0,0,43921.36,0,1
590,Spain,M,44,3,139432.37,1,1,0,62222.81,0,1
758,France,M,39,6,127357.76,1,0,1,56577,0,1
506,France,M,36,5,0,2,1,0,164253.35,0,1
